tool,TP,FP,TN,FN,PRECISION,ACCURACY,RECALL,F1,Project
pmd,39,1435,975,48,0.0264586160108548,0.4060873047657188,0.4060873047657188,0.0499679692504804,commons-lang
pmd,0,0,0,0,0.0,0.0,0.0,0.0,commons-math
pmd,9,54,27,9,0.1428571428571428,0.3636363636363636,0.3636363636363636,0.2222222222222222,connector4java
pmd,6,501,405,14,0.0118343195266272,0.4438444924406047,0.4438444924406047,0.0227703984819734,couchbase-java-client
pmd,0,778,776,0,0.0,0.4993564993564993,0.4993564993564993,0.0,craft-atom
pmd,5,246,156,6,0.0199203187250996,0.3898305084745763,0.3898305084745763,0.0381679389312977,creadur-rat
pmd,25,788,431,231,0.030750307503075,0.3091525423728813,0.3091525423728813,0.0467726847521047,csvjdbc
pmd,61,1400,1088,1200,0.0417522245037645,0.3064817284609229,0.3064817284609229,0.0448199853049228,curator
pmd,9,356,226,15,0.0246575342465753,0.3877887788778877,0.3877887788778877,0.0462724935732647,dandelion
pmd,8,3800,4063,15,0.0021008403361344,0.5162312959675374,0.5162312959675374,0.0041764552336204,dari
pmd,25,3579,1803,78,0.0069367369589345,0.3332725615314494,0.3332725615314494,0.0134879956838413,dasein-cloud-aws
pmd,1,943,567,11,0.0010593220338983,0.3731931668856767,0.3731931668856767,0.002092050209205,dasein-cloud-azure
pmd,39,1530,2003,82,0.0248565965583174,0.5588396278051451,0.5588396278051451,0.0461538461538461,dasein-cloud-core
pmd,15,747,523,38,0.0196850393700787,0.4066515495086923,0.4066515495086923,0.0368098159509202,dasein-cloud-google
pmd,24,1389,814,48,0.0169851380042462,0.3683516483516483,0.3683516483516483,0.0323232323232323,dasein-cloud-openstack
pmd,0,406,536,0,0.0,0.5690021231422505,0.5690021231422505,0.0,datasift-java
pmd,0,799,905,0,0.0,0.5311032863849765,0.5311032863849765,0.0,depot
pmd,1,250,315,4,0.0039840637450199,0.5543859649122806,0.5543859649122806,0.0078125,digipost-api-client-java
pmd,0,1787,1542,0,0.0,0.4632021628116551,0.4632021628116551,0.0,directory-fortress-core
pmd,3,6364,4097,0,0.0004711795193968,0.3918195718654434,0.3918195718654434,0.0009419152276295,directory-server
pmd,42,257,53,10,0.1404682274247491,0.2624309392265193,0.2624309392265193,0.2393162393162393,docker-maven-plugin
pmd,8,530,596,15,0.0148698884758364,0.525674499564839,0.525674499564839,0.0285204991087344,dropwizard
pmd,54,245,141,44,0.1806020066889632,0.402892561983471,0.402892561983471,0.2720403022670025,dungeon
pmd,18,505,407,13,0.034416826003824,0.4506892895015906,0.4506892895015906,0.0649819494584837,easy-batch
pmd,13,1325,1317,73,0.0097159940209267,0.4875366568914956,0.4875366568914956,0.0182584269662921,effektif
pmd,44,2181,1580,31,0.0197752808988764,0.4233576642335766,0.4233576642335766,0.0382608695652173,epubcheck
pmd,50,2461,768,37,0.0199123855037833,0.2466827503015681,0.2466827503015681,0.0384911470361816,error-prone
pmd,250,3250,4065,627,0.0714285714285714,0.5267333984375,0.5267333984375,0.1142334932602238,es6draft
pmd,2,185,103,1,0.0106951871657754,0.3608247422680412,0.3608247422680412,0.0210526315789473,experimaestro
pmd,6,277,143,5,0.0212014134275618,0.345707656612529,0.345707656612529,0.0408163265306122,extdirectspring
pmd,0,1267,1255,2,0.0,0.4972266244057052,0.4972266244057052,0.0,facebook4j
pmd,0,0,191,3,0.0,0.9845360824742267,0.9845360824742267,0.0,fb-contrib
pmd,6,5299,3262,3,0.0011310084825636,0.3813302217036172,0.3813302217036172,0.0022581859239744,finmath-lib
pmd,16,1739,1236,25,0.0091168091168091,0.4151193633952255,0.4151193633952255,0.0178173719376391,firefly
pmd,113,657,255,126,0.1467532467532467,0.3197219808861859,0.3197219808861859,0.2239841427155599,fiware-cygnus
pmd,0,418,135,1,0.0,0.243682310469314,0.243682310469314,0.0,flatpack
