tool,TP,FP,TN,FN,PRECISION,ACCURACY,RECALL,F1,Project
findbugs,2,27,533,8,0.0689655172413793,0.9385964912280702,0.9385964912280702,0.1025641025641025,json-io
findbugs,0,37,364,0,0.0,0.9077306733167082,0.9077306733167082,0.0,jsonj
findbugs,0,67,267,3,0.0,0.7922848664688428,0.7922848664688428,0.0,jsr107tck
findbugs,1,229,927,41,0.0043478260869565,0.7746243739565943,0.7746243739565943,0.0073529411764705,junit
findbugs,0,37,447,18,0.0,0.8904382470119522,0.8904382470119522,0.0,junit-plugin
findbugs,0,9,72,0,0.0,0.8888888888888888,0.8888888888888888,0.0,killbill
findbugs,3,233,2091,17,0.0127118644067796,0.893344709897611,0.893344709897611,0.0234375,kontraktor
findbugs,0,0,0,0,0.0,0.0,0.0,0.0,ldbc_driver
findbugs,943,209,0,0,0.8185763888888888,0.8185763888888888,0.8185763888888888,0.9002386634844869,mahout
findbugs,0,24,297,0,0.0,0.9252336448598132,0.9252336448598132,0.0,matrix-project-plugin
findbugs,0,0,0,0,0.0,0.0,0.0,0.0,maven-shared
findbugs,0,77,620,2,0.0,0.8869814020028612,0.8869814020028612,0.0,metrics
findbugs,7,56,381,60,0.1111111111111111,0.7698412698412699,0.7698412698412699,0.1076923076923076,mgwt
findbugs,12,960,3122,18,0.0123456790123456,0.7621595330739299,0.7621595330739299,0.0239520958083832,mina-sshd
findbugs,45,65,464,158,0.4090909090909091,0.6953551912568307,0.6953551912568307,0.2875399361022364,moquette
findbugs,0,9,76,0,0.0,0.8941176470588236,0.8941176470588236,0.0,morphia
findbugs,0,851,5414,0,0.0,0.8641660015961692,0.8641660015961692,0.0,mp4parser
findbugs,0,96,482,0,0.0,0.8339100346020761,0.8339100346020761,0.0,mule-common
findbugs,5,296,1772,13,0.0166112956810631,0.8518696069031639,0.8518696069031639,0.0313479623824451,mybatis-3
findbugs,1,26,52,11,0.037037037037037,0.5888888888888889,0.5888888888888889,0.0512820512820512,mybatis-spring
findbugs,0,67,601,0,0.0,0.8997005988023952,0.8997005988023952,0.0,nbm-maven-plugin
findbugs,4,890,1858,17,0.0044742729306487,0.6724449259660528,0.6724449259660528,0.0087431693989071,neo4j-ogm
findbugs,0,54,421,0,0.0,0.8863157894736842,0.8863157894736842,0.0,nettosphere
findbugs,7,86,206,5,0.075268817204301,0.7006578947368421,0.7006578947368421,0.1333333333333333,netty-socketio
findbugs,24,910,6787,134,0.025695931477516,0.8670910248249523,0.8670910248249523,0.0439560439560439,nfsdb
findbugs,9,113,702,55,0.0737704918032786,0.8088737201365188,0.8088737201365188,0.0967741935483871,ninja
findbugs,2,117,605,0,0.0168067226890756,0.8383977900552486,0.8383977900552486,0.0330578512396694,objectify
findbugs,0,156,734,1,0.0,0.8237934904601572,0.8237934904601572,0.0,omnifaces
findbugs,0,189,1096,2,0.0,0.8515928515928516,0.8515928515928516,0.0,ormlite-core
findbugs,188,1098,2253,141,0.1461897356143079,0.6633152173913044,0.6633152173913044,0.2328173374613003,owlapi
findbugs,2,34,54,9,0.0555555555555555,0.5656565656565656,0.5656565656565656,0.0851063829787234,owner
findbugs,339,464,2287,741,0.4221668742216687,0.6854607152179587,0.6854607152179587,0.3600637280934678,pdfbox
findbugs,0,119,572,0,0.0,0.8277858176555717,0.8277858176555717,0.0,pebble
findbugs,1,289,3893,28,0.0034482758620689,0.9247209688909998,0.9247209688909998,0.006269592476489,pgjdbc
findbugs,2,77,278,7,0.0253164556962025,0.7692307692307693,0.7692307692307693,0.0454545454545454,photon
findbugs,0,47,172,0,0.0,0.7853881278538812,0.7853881278538812,0.0,podam
findbugs,1,60,312,0,0.0163934426229508,0.839142091152815,0.839142091152815,0.032258064516129,pushy
findbugs,1,370,3322,46,0.0026954177897574,0.8887403048943567,0.8887403048943567,0.0047846889952153,qpid-proton
findbugs,0,149,577,0,0.0,0.7947658402203857,0.7947658402203857,0.0,randomcoder-website
findbugs,3,137,573,1,0.0214285714285714,0.8067226890756303,0.8067226890756303,0.0416666666666666,raven-java
